haditsId,kitabId,indo,arab,label
1729,6,"Telah menceritakan kepada kami [Muhammad bin Al 'Ala`] telah menceritakan kepada kami [Muhammad bin Isma'il bin Abu Fudaik] dari [Adh Dhahhak bin Utsman] dari [Muhammad bin Al Munkadir] dari [Abdurrahman bin Yarbu'] dari [Abu Bakr], ia berkata; Rasulullah shallallahu 'alaihi wasallam ditanya; ""Haji apakah yang paling utama?"" Beliau bersabda: ""Al 'ajju, dan ats Tsajju. Al 'Ajju yaitu mengucapkan talbiyah, sedangkan ats tsajju yaitu mengalirkan darah (hewan kurban).""", حَدَّثَنَا مُحَمَّدُ بْنُ الْعَلَاءِ حَدَّثَنَا مُحَمَّدُ بْنُ إِسْمَعِيلَ بْنِ أَبِي فُدَيْكٍ عَنْ الضَّحَّاكِ بْنِ عُثْمَانَ عَنْ مُحَمَّدِ بْنِ الْمُنْكَدِرِ عَنْ عَبْدِ الرَّحْمَنِ بْنِ يَرْبُوعٍ عَنْ أَبِي بَكْرٍ قَالَ سُئِلَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَيُّ الْحَجِّ أَفْضَلُ قَالَ الْعَجُّ وَالثَّجُّ الْعَجُّ يَعْنِي التَّلْبِيَةَ وَالثَّجُّ يَعْنِي إِهْرَاقَةَ الدَّمِ,52
1733,6,"Telah mengabarkan kepada kami [Hajjaj bin Minhal] telah menceritakan kepada kami [Hammad bin Salamah] dari [Hisyam bin 'Urwah] dari [Ayahnya] dari ['Aisyah] bahwa ia berkata; ""Saya pernah memberi minyak wangi yang paling baik kepada Rasulullah shallallahu 'alaihi wasallam sebelum berihram."" Perawi berkata; ['Urwah] mengatakan kepada kami; ""Pakailah minyak wangi sebelum berihram dan sebelum thawaf Ifadhah pada hari Kurban.""", أَخْبَرَنَا حَجَّاجُ بْنُ مِنْهَالٍ حَدَّثَنَا حَمَّادُ بْنُ سَلَمَةَ عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ عَنْ عَائِشَةَ أَنَّهَا قَالَتْ كُنْتُ أُطَيِّبُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَبْلَ أَنْ يُحْرِمَ بِأَطْيَبِ الطِّيبِ قَالَ وَكَانَ عُرْوَةُ يَقُولُ لَنَا تَطَيَّبُوا قَبْلَ أَنْ تُحْرِمُوا وَقَبْلَ أَنْ تُفِيضُوا يَوْمَ النَّحْرِ,52
1817,6,"Telah mengabarkan kepada kami ['Ubaidullah bin Musa] telah mengabarkan kepada kami [Ibnu Juraij] dari [Abu Az Zubair] dari [Jabir], ia berkata; Rasulullah shallallahu 'alaihi wasallam melempar jumrah pada hari penyembelihan hewan kurban ketika matahari naik sepenggalah, setelah itu ketika tergelincirnya matahari.""", أَخْبَرَنَا عُبَيْدُ اللَّهِ بْنُ مُوسَى أَخْبَرَنَا ابْنُ جُرَيْجٍ عَنْ أَبِي الزُّبَيْرِ عَنْ جَابِرٍ قَالَ رَمَى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الْجَمْرَةَ يَوْمَ النَّحْرِ الضُّحَى وَبَعْدَ ذَلِكَ عِنْدَ زَوَالِ الشَّمْسِ,52
1830,6,"Telah mengabarkan kepada kami [Abdul Wahhab bin Sa'id] telah menceritakan kepada kami [Syu'aib bin Ishaq] dari [Hisyam bin 'Urwah] dari [Ayahnya] dari [Najiyah Al Aslami] -seorang yang menuntun hewan kurban Rasulullah shallallahu 'alaihi wasallam- ia berkata; Aku bertanya kepada Rasulullah shallallahu 'alaihi wasallam; ""Apa yang harus aku laukan terhadap hewan kurban yang hampir mati?"" Rasulullah shallallahu 'alaihi wasallam bersabda: ""Sembelihlah seluruh unta yang hampir mati, kemudian lemparkan telapak kakinya pada darahnya, setelah itu biarkanlah (dagingnya) berada di antara orang-orang supaya mereka memakannya."" Telah mengabarkan kepada kami [Muhammad bin Sa'id] telah menceritakan kepada kami [Hafsh bin Ghiyats] dari [Hisyam bin 'Urwah] dari [Ayahnya] dari [Najiyah] seperti hadits di atas.", أَخْبَرَنَا عَبْدُ الْوَهَّابِ بْنُ سَعِيدٍ حَدَّثَنَا شُعَيْبُ بْنُ إِسْحَقَ عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ عَنْ نَاجِيَةَ الْأَسْلَمِيِّ صَاحِبِ هَدْيِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ سَأَلْتُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَيْفَ أَصْنَعُ بِمَا عَطِبَ مِنْ الْهَدْيِ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كُلُّ بَدَنَةٍ عَطِبَتْ فَانْحَرْهَا ثُمَّ أَلْقِ نَعْلَهَا فِي دَمِهَا ثُمَّ خَلِّ بَيْنَهَا وَبَيْنَ النَّاسِ فَلْيَأْكُلُوهَا أَخْبَرَنَا مُحَمَّدُ بْنُ سَعِيدٍ حَدَّثَنَا حَفْصُ بْنُ غِيَاثٍ عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ عَنْ نَاجِيَةَ نَحْوَهُ,52
1831,6,"Telah mengabarkan kepada kami [Ya'la bin 'Ubaid] dan [Abu Nu'aim] keduanya berkata; telah menceritakan kepada kami [Al A'masy] dari [Ibrahim] dari [Al Aswad] dari ['Aisyah] ia berkata; ""Sesekali Rasulullah shallallahu 'alaihi wasallam berkurban dengan seekor kambing.""", أَخْبَرَنَا يَعْلَى بْنُ عُبَيْدٍ وَأَبُو نُعَيْمٍ قَالَا حَدَّثَنَا الْأَعْمَشُ عَنْ إِبْرَاهِيمَ عَنْ الْأَسْوَدِ عَنْ عَائِشَةَ قَالَتْ أَهْدَى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَرَّةً غَنَمًا,52
1832,6,"Telah mengabarkan kepada kami [Abu Al Walid Ath Thayalisi] telah menceritakan kepada kami [Syu'bah] dari [Qatadah], ia berkata; Aku mendengar [Abu Hassan] menceritakan dari [Ibnu Abbas] bahwa Rasulullah shallallahu 'alaihi wasallam melakukan shalat Zhuhur di Dzul Hulaifah, kemudian beliau meminta seekor unta dan (sedikit) melukai pada sisi punuk kanannya (sebagai tanda bahwa itu adalah hewan kurban), setelah menghentikan darah hewan kurbannya, beliau mengalunginya dengan dua sandal, lalu beliau diberi kendaraannya, ketika beliau telah duduk di atas hewan tunggangannya hingga berada di Baida`, beliau mengucapkan talbiyah untuk melakukan haji.""", أَخْبَرَنَا أَبُو الْوَلِيدِ الطَّيَالِسِيُّ حَدَّثَنَا شُعْبَةُ عَنْ قَتَادَةَ قَالَ سَمِعْتُ أَبَا حَسَّانَ يُحَدِّثُ عَنْ ابْنِ عَبَّاسٍ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ صَلَّى الظُّهْرَ بِذِي الْحُلَيْفَةِ ثُمَّ دَعَا بِبَدَنَةٍ فَأَشْعَرَهَا مِنْ صَفْحَةِ سَنَامِهَا الْأَيْمَنِ ثُمَّ سَلَتَ الدَّمَ عَنْهَا وَقَلَّدَهَا نَعْلَيْنِ ثُمَّ أُتِيَ بِرَاحِلَتِهِ فَلَمَّا قَعَدَ عَلَيْهَا وَاسْتَوَتْ عَلَى الْبَيْدَاءِ أَهَلَّ بِالْحَجِّ,52
1833,6,"Telah mengabarkan kepada kami [Abu An Nadhr Hasyim bin Al Qasim] telah menceritakan kepada kami [Syu'bah] ia berkata; telah mengabarkan kepadaku [Qatadah] ia berkata; saya mendengar [Anas] menceritakan dari Rasulullah shallallahu 'alaihi wasallam, bahwa beliau sampai kepada seorang laki-laki yang sedang menggiring hewan kurbannya, lalu beliau bersabda: ""Tunggangilah! "" Laki-laki itu menjawab; ""Ia adalah unta kurban."" Beliau bersabda: ""Tunggangilah unta tersebut! "" laki-laki tersebut berkata; ""Ia adalah unta kurban."" Beliau bersabda: ""Celaka kamu, Tunggangilah!.""", أَخْبَرَنَا أَبُو النَّضْرِ هَاشِمُ بْنُ الْقَاسِمِ حَدَّثَنَا شُعْبَةُ قَالَ قَتَادَةُ أَخْبَرَنِي قَالَ سَمِعْتُ أَنَسًا يُحَدِّثُ عَنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَنَّهُ انْتَهَى إِلَى رَجُلٍ يَسُوقُ بَدَنَتَهُ قَالَ ارْكَبْهَا فَقَالَ إِنَّهَا بَدَنَةٌ قَالَ ارْكَبْهَا قَالَ إِنَّهَا بَدَنَةٌ قَالَ ارْكَبْهَا وَيْحَكَ,52
1836,6,"Telah mengabarkan kepada kami [Abu Hatim Asyhal bin Hatim] telah menceritakan kepada kami [Ibnu 'Aun] dari [Muhammad] dari [Abdurrahman bin Abu Bakrah] dari [Ayahnya], ia berkata; Ketika hari itu tiba (hari raya kurban), Nabi shallallahu 'alaihi wasallam duduk di atas unta -saya tidak tahu apakah unta jantan atau unta betina- sementara orang-orang memegangi tali kendalinya -atau berkata; tali kekangnya- kemudian beliau bertanya: ""Hari apakah ini?"" Abu Bakrah berkata; ""Kami diam, hingga kami menyangka beliau akan menamainya dengan selain namanya. Lalu beliau bersabda: ""Bukankah hari Nahr (hari raya kurban)?"" Kami menjawab; ""Benar."" Beliau bertanya: ""Bulan apakah ini?"" Abu Barzah melanjutkan; ""Kami pun diam, hingga kami menyangka beliau akan menamainya dengan selain namanya, "" beliau lalu bersabda: ""Bukankah (bulan) Dzul Hijjah?"" Kami menjawab; ""Benar."" Beliau bertanya lagi: ""Negeri apakah ini?"" Abu Barzah berkata; ""Kami diam, hingga kami menyangka beliau akan menamainya dengan selain namanya. beliau bersabda: ""Bukankah ini Negeri Haram?"" Kami menjawab; ""Benar."" Beliau bersabda: ""Sesungguhnya darah kalian, harta, dan kehormatan kalian adalah haram atas kalian, seperti haramnya hari kalian ini, pada bulan kalian ini dan di negeri kalian kalian ini. Hendaknya orang yang hadir menyampaikan kepada orang yang tidak hadir. Karena bisa jadi orang yang hadir menyampaikan kepada orang yang lebih faham dari dirinya.""", أَخْبَرَنَا أَبُو حَاتِمٍ أَشْهَلُ بْنُ حَاتِمٍ حَدَّثَنَا ابْنُ عَوْنٍ عَنْ مُحَمَّدٍ عَنْ عَبْدِ الرَّحْمَنِ بْنِ أَبِي بَكْرَةَ عَنْ أَبِيهِ قَالَ لَمَّا كَانَ ذَلِكَ الْيَوْمُ قَعَدَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَلَى بَعِيرٍ لَا أَدْرِي جَمَلٌ أَوْ نَاقَةٌ وَأَخَذَ إِنْسَانٌ بِخِطَامِهِ أَوْ قَالَ بِزِمَامِهِ فَقَالَ أَيُّ يَوْمٍ هَذَا قَالَ فَسَكَتْنَا حَتَّى ظَنَنَّا أَنَّهُ سَيُسَمِّيهِ سِوَى اسْمِهِ فَقَالَ أَلَيْسَ يَوْمَ النَّحْرِ قُلْنَا بَلَى قَالَ فَأَيُّ شَهْرٍ هَذَا قَالَ فَسَكَتْنَا حَتَّى ظَنَنَّا أَنَّهُ سَيُسَمِّيهِ سِوَى اسْمِهِ فَقَالَ أَلَيْسَ ذَا الْحِجَّةِ قُلْنَا بَلَى قَالَ فَأَيُّ بَلَدٍ هَذَا قَالَ فَسَكَتْنَا حَتَّى ظَنَنَّا أَنَّهُ سَيُسَمِّيهِ سِوَى اسْمِهِ فَقَالَ أَلَيْسَ الْبَلْدَةَ قُلْنَا بَلَى قَالَ فَإِنَّ دِمَاءَكُمْ وَأَمْوَالَكُمْ وَأَعْرَاضَكُمْ بَيْنَكُمْ حَرَامٌ كَحُرْمَةِ يَوْمِكُمْ هَذَا فِي شَهْرِكُمْ هَذَا فِي بَلَدِكُمْ هَذَا أَلَا لِيُبَلِّغْ الشَّاهِدُ الْغَائِبَ فَإِنَّ الشَّاهِدَ عَسَى أَنْ يُبَلِّغَ مَنْ هُوَ أَوْعَى مِنْهُ,52
1854,6,"Telah mengabarkan kepada kami [Ya'la] telah menceritakan kepada kami [Isma'il yaitu Ibnu Abu Khalid] dari ['Amir] dari [Masruq] bahwa ia bertanya kepada ['Aisyah]; ""Wahai Ummul mukminin, salah seorang laki-laki mengirimkan hewan kurbannya kepada laki-laki lain dan berkata; ""Apabila kamu telah sampai pada tempat ini dan itu, kalungilah hewan kurban tersebut."" Ketika laki-laki (yang diperintah) sampai di tempat tersebut, ternyata ia masih dalam keadaan ihram, hingga orang-orang selesai bertahallul."" Musruq berkata; lalu saya mendengar tepuk tangannya dari balik hijab, 'Aisyah lalu berkata; ""Sungguh, aku telah memintal kalung-kalung untuk hewan kurban Rasulullah shallallahu 'alaihi wasallam, kemudian beliau mengirim hewan kurbannya ke Ka'bah, Segala sesuatu yang halal bagi seorang suami terhadap isterinya menjadi haram hingga orang-orang kembali (dari melaksanakan haji).""", أَخْبَرَنَا يَعْلَى حَدَّثَنَا إِسْمَعِيلُ يَعْنِي ابْنَ أَبِي خَالِدٍ عَنْ عَامِرٍ عَنْ مَسْرُوقٍ أَنَّهُ قَالَ لِعَائِشَةَ يَا أُمَّ الْمُؤْمِنِينَ إِنَّ رِجَالًا يَبْعَثُ أَحَدُهُمْ بِالْهَدْيِ مَعَ الرَّجُلِ فَيَقُولُ إِذَا بَلَغْتَ مَكَانَ كَذَا وَكَذَا فَقَلِّدْهُ فَإِذَا بَلَغَ ذَلِكَ الْمَكَانَ لَمْ يَزَلْ مُحْرِمًا حَتَّى يَحِلَّ النَّاسُ قَالَ فَسَمِعْتُ صَفْقَتَهَا بِيَدِهَا مِنْ وَرَاءِ الْحِجَابِ وَقَالَتْ لَقَدْ كُنْتُ أَفْتِلُ الْقَلَائِدَ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَيَبْعَثُ بِالْهَدْيِ إِلَى الْكَعْبَةِ مَا يَحْرُمُ عَلَيْهِ شَيْءٌ مِمَّا يَحِلُّ لِلرَّجُلِ مِنْ أَهْلِهِ حَتَّى يَرْجِعَ النَّاسُ,52
1855,6,"Telah mengabarkan kepada kami [Al Hakam bin Nafi'] telah mengabarkan kepada kami [Syu'aib] dari [Az Zuhri], ia berkata; telah mengabarkan kepadaku ['Urwah bin Az Zubair] dan ['Amrah binti Abdurrahman] bahwa ['Aisyah] berkata; ""Aku pernah memintal kalung-kalung hewan kurban Rasulullah shallallahu 'alaihi wasallam, kemudian beliau mengirim hewan kurbannya dalam keadaan mengenakan kalung, beliau bermukim di Madinah serta tidak menjauhi apapun hingga hewan kurbannya disembelih.""", أَخْبَرَنَا الْحَكَمُ بْنُ نَافِعٍ أَخْبَرَنَا شُعَيْبٌ عَنْ الزُّهْرِيِّ قَالَ أَخْبَرَنِي عُرْوَةُ بْنُ الزُّبَيْرِ وَعَمْرَةُ بِنْتُ عَبْدِ الرَّحْمَنِ أَنَّ عَائِشَةَ قَالَتْ كُنْتُ أَفْتِلُ قَلَائِدَ هَدْيِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَيَبْعَثُ بِهَدْيِهِ مُقَلَّدَةً وَيُقِيمُ بِالْمَدِينَةِ وَلَا يَجْتَنِبُ شَيْئًا حَتَّى يُنْحَرَ هَدْيُهُ,52
